"X","Y","Z","ReturnNumber","NumberOfReturns","Classification"
309227.670,6143487.570,467.390,1.000,3.000,5.000
309227.340,6143488.180,463.360,2.000,3.000,5.000
309227.020,6143488.770,459.370,3.000,3.000,2.000
309227.660,6143487.410,467.370,1.000,3.000,5.000
309227.580,6143487.550,466.440,2.000,3.000,5.000
309227.350,6143487.960,463.670,3.000,3.000,5.000
309227.630,6143487.290,467.190,1.000,2.000,5.000
309227.310,6143487.850,463.410,2.000,2.000,5.000
309227.610,6143487.130,467.210,1.000,1.000,5.000
309227.610,6143486.960,467.290,1.000,3.000,5.000
309227.220,6143487.650,462.590,2.000,3.000,5.000
309227.290,6143487.330,463.700,1.000,3.000,5.000
309227.230,6143487.450,462.900,2.000,3.000,5.000
309227.260,6143487.200,463.530,1.000,3.000,5.000
309227.150,6143487.390,462.170,2.000,3.000,5.000
309227.480,6143486.650,466.240,1.000,3.000,5.000
309227.260,6143487.030,463.620,2.000,3.000,5.000
309227.470,6143486.480,466.340,1.000,3.000,5.000
309227.240,6143486.860,463.660,2.000,3.000,5.000
309227.460,6143486.310,466.450,1.000,2.000,5.000
309227.420,6143486.210,466.070,1.000,3.000,5.000
309227.140,6143486.680,462.790,2.000,3.000,5.000
309227.430,6143486.020,466.340,1.000,2.000,5.000
309227.220,6143486.190,464.020,1.000,2.000,5.000
309227.400,6143485.690,466.410,1.000,3.000,5.000
309227.190,6143486.060,463.800,2.000,3.000,5.000
309227.150,6143485.940,463.520,1.000,2.000,5.000
309227.170,6143485.730,463.900,1.000,2.000,5.000
309227.350,6143485.250,466.290,1.000,2.000,5.000
309227.320,6143485.130,466.090,1.000,2.000,5.000
309227.300,6143484.970,466.020,1.000,3.000,5.000
309227.060,6143485.360,463.110,2.000,3.000,5.000
309227.200,6143484.950,464.990,1.000,3.000,5.000
309227.070,6143485.170,463.420,2.000,3.000,5.000
309227.300,6143484.610,466.450,1.000,3.000,5.000
309227.060,6143485.000,463.480,2.000,3.000,5.000
309227.040,6143484.850,463.410,1.000,2.000,5.000
309227.300,6143484.260,466.760,1.000,3.000,5.000
309227.020,6143484.690,463.400,2.000,3.000,5.000
309227.290,6143484.100,466.850,1.000,2.000,5.000
309227.280,6143483.930,466.890,1.000,2.000,5.000
309227.270,6143483.780,466.920,1.000,2.000,5.000
309227.280,6143483.600,467.120,1.000,3.000,5.000
309227.040,6143483.960,464.220,2.000,3.000,5.000
309227.270,6143483.430,467.170,1.000,3.000,5.000
309227.020,6143483.810,464.210,2.000,3.000,5.000
309227.200,6143483.190,466.730,1.000,3.000,5.000
309227.150,6143483.090,466.280,1.000,2.000,5.000
309227.140,6143482.930,466.300,1.000,2.000,5.000
309227.110,6143482.780,466.220,1.000,2.000,5.000
309227.100,6143482.630,466.230,1.000,2.000,5.000
309227.110,6143482.440,466.560,1.000,2.000,5.000
309227.060,6143482.150,466.320,1.000,2.000,5.000
309227.040,6143482.010,466.210,1.000,2.000,5.000
309227.060,6143481.810,466.630,1.000,2.000,5.000
309227.030,6143481.670,466.500,1.000,2.000,5.000
309228.960,6143496.890,468.030,1.000,3.000,5.000
309228.950,6143496.730,468.030,1.000,3.000,5.000
309228.930,6143496.590,467.960,1.000,3.000,5.000
309228.920,6143496.410,468.050,1.000,3.000,5.000
309228.910,6143496.230,468.200,1.000,4.000,5.000
309228.800,6143496.340,466.890,1.000,2.000,5.000
309228.810,6143496.130,467.160,1.000,4.000,5.000
309228.690,6143496.450,465.560,2.000,4.000,5.000
309228.770,6143496.030,466.840,1.000,2.000,5.000
309228.680,6143496.270,465.660,2.000,2.000,5.000
309228.720,6143495.960,466.400,1.000,2.000,5.000
309228.740,6143495.700,466.930,1.000,3.000,5.000
309228.660,6143495.920,465.810,2.000,3.000,5.000
309228.570,6143496.140,464.660,3.000,3.000,5.000
309228.710,6143495.600,466.650,1.000,2.000,5.000
309228.580,6143495.930,464.970,2.000,2.000,5.000
309228.710,6143495.380,466.950,1.000,2.000,5.000
309228.110,6143496.940,458.980,2.000,2.000,2.000
309228.680,6143495.280,466.670,1.000,2.000,5.000
309228.100,6143496.780,458.970,2.000,2.000,2.000
309228.640,6143495.180,466.360,1.000,4.000,5.000
309228.590,6143495.310,465.710,2.000,4.000,5.000
309228.270,6143496.130,461.450,3.000,4.000,5.000
309228.080,6143496.610,458.990,4.000,4.000,2.000
309228.570,6143495.160,465.670,1.000,2.000,5.000
309228.070,6143496.440,459.010,2.000,2.000,2.000
